v0,r0,t0,w_wh,w_m,T_m,T_a,F_trac,F_drag,F_down,F_RR,F_net_tan,a_tan0,P_battery,Pack Voltage,Pack Capacity,Pack Current,Energy Use,SoC Capacity,Dissipated Power,Battery Temp,Drooped Voltage,Total Losses,Total Losses NRG,Heatsink Temp
94.3723622084885,71.71999999999979,4.915213031186904,114.67430034082884,15692.194104219907,8.926176545,127.91210988985002,1119.0910751517936,258.1461968599564,71.0152025618876,22.307940000000002,838.6369382918372,3.6879372836052644,68.37719997046356,487.3603913344078,13.889211451966645,140.30110198993538,0.05735606948530911,99.20865322833318,22.04652712594108,31.36275296741002,377.36432737429845,15447.266672909382,0.008549953843617722,30.024526913239868
94.37742665571074,71.72999999999979,4.915594488567245,114.68045428175213,15693.03621823488,8.926176545,127.91210988985002,1119.0910751517936,258.1739041852506,71.01901355842233,22.307940000000002,838.609230966543,3.6878154396066094,68.37719997255029,487.36035663382154,13.889196585608083,140.30111198380777,0.057363315148477034,99.20854704005774,22.046530266760122,31.36301376862984,377.36428483851626,15447.268873576595,0.008551590729644848,30.024533317427885
94.38249066387263,71.7399999999998,4.915975925479394,114.68660768916185,15693.878259243096,8.926176545,127.91210988985002,1119.0910751517936,258.2016105951357,71.02282422456416,22.307940000000002,838.5815245566579,3.6876935996334996,68.37719997465605,487.3603219350948,13.889181720046158,140.30112197718532,0.057370560422803744,99.20844085747255,22.04653340742388,31.363274555821924,377.36424230498153,15447.271074134997,0.008553227528061015,30.0245397224896
94.3875542330504,71.7499999999998,4.916357341927323,114.69276056315057,15694.720227257227,8.926176545,127.91210988985002,1119.0910751517936,258.22931608964205,71.02663456037043,22.307940000000002,838.5538190621515,3.6875717636858028,68.37719997674368,487.3602872382272,13.889166855280719,140.3011319699919,0.05737780530836467,99.20833468057656,22.046536547908413,31.363535328988988,377.36419977375357,15447.27327456783,0.008554864238883226,30.024546128424877
94.3926173633202,71.7599999999998,4.916738737915002,114.69891290381086,15695.562122289939,8.926176545,127.91210988985002,1119.0910751517936,258.2570206687997,71.03044456589845,22.307940000000002,838.5261144829939,3.6874499317633855,68.37719997883168,487.36025254321845,13.889151991311607,140.30114196226558,0.057385049805235254,99.20822850936862,22.046539688225696,31.36379608813375,377.36415724480224,15447.27547488347,0.008556500862128488,30.02455253523358
94.39768005475818,71.76999999999981,4.917120113446397,114.70506471123528,15696.403944353897,8.926176545,127.91210988985002,1119.0910751517936,258.28472433263914,71.03425424120553,22.307940000000002,838.4984108191544,3.6873281038661143,68.37719998092003,487.360217850068,13.889137128138671,140.30115195400634,0.05739229391349086,99.20812234384765,22.04654282837572,31.364056833258932,377.36411471812704,15447.277675081923,0.00855813739781379,30.024558942915572
94.40274230744048,71.77999999999982,4.917501468525475,114.71121598551629,15697.245693461753,8.926176545,127.91210988985002,1119.0910751517936,258.3124270811903,71.03806358634897,22.307940000000002,838.4707080706032,3.6872062799938576,68.37719998302718,487.3601831587756,13.889122265761754,140.30116194525226,0.057399537633206876,99.20801618401252,22.04654596837045,31.36431756436725,377.36407219369784,15447.279875171564,0.00855977384595612,30.02456535147072
94.40780412144319,71.78999999999982,4.9178828031562025,114.71736672674638,15698.087369626162,8.926176545,127.91210988985002,1119.0910751517936,258.3401289144836,71.041872601386,22.307940000000002,838.44300623731,3.687084460146482,68.37719998511601,487.3601484693409,13.889107404180704,140.30117193592721,0.057406780964458615,99.20791002986216,22.046549108185964,31.364578281461423,377.364029671574,15447.282075135632,0.008561410206572462,30.02457176089889
94.41286549684241,71.79999999999983,4.918264117342544,114.723516935018,15698.92897285978,8.926176545,127.91210988985002,1119.0910751517936,258.3678298325494,71.04568128637392,22.307940000000002,838.4153053192442,3.6869626443238532,68.37719998722358,487.3601137817635,13.889092543395366,140.30118192610735,0.05741402390732142,99.20780388139548,22.04655224784619,31.364838984544168,377.36398715169537,15447.284274990898,0.008563046479679797,30.024578171199945
94.4179264337142,71.80999999999983,4.918645411088463,114.72966661042359,15699.770503175252,8.926176545,127.91210988985002,1119.0910751517936,258.3955298354177,71.04948964136993,22.307940000000002,838.3876053163759,3.6868408325258395,68.37719998929417,487.3600790960432,13.889077683405585,140.3011919156784,0.0574212664618706,99.20769773861132,22.046555387315223,31.365099673618197,377.3639446341513,15447.286474712202,0.0085646826652951,30.024584582373752
