v0,r0,t0,w_wh,w_m,T_m,T_a,F_trac,F_drag,F_RR,F_net_tan,a_tan0,a_norm0,P_battery,P_battery_OL,P_battery_regen,Capacity,Pack Current,Energy Use,Energy Use OL,SoC Energy,SoC Capacity,Dissipated Power,Battery Temp,Heatsink Temp,Max Values
0,0,0,0,0,71.20799402,299.0735749,1308.283355,0,0,1308.283355,4.905,14.83024691,0,0,-12.10229731,17.7,0,0,0,100,100,0,23,23,0
1.7658,0.024525,0.1,2.145669291,86.05645624,71.20799402,299.0735749,1308.283355,0.103574103,26.16566709,1282.014113,4.806511681,14.83024691,0,0,-12.10229731,17.7,0,0,0,100,100,0,23,23,0.277074321
3.496144205,0.097607558,0.2,4.248255329,170.3849704,71.20799402,299.0735749,1308.283355,0.406019442,26.16566709,1281.711668,4.805377757,14.83024691,0,0,-12.10229731,17.7,0,0,0,100,100,0,23,23,0
5.226080198,0.218749564,0.3,6.350345336,254.6935903,71.20799402,299.0735749,1308.283355,0.90723604,26.16566709,1281.210452,4.803498602,14.83024691,0,0,-12.10229731,17.7,0,0,0,100,100,0,23,23,25.00182197
6.955339694,0.387935951,0.4,8.451613316,338.9692411,71.20799402,299.0735749,1308.283355,1.606959181,26.16566709,1280.510728,4.800875208,14.83024691,0,0,-12.10229731,17.7,0,0,0,100,100,0,23,23,0
8.683654769,0.605144208,0.5,10.5517337,423.1988655,71.20799402,299.0735749,1308.283355,2.504801142,26.16566709,1279.612886,4.79750903,14.83024691,0,0,-12.04097413,17.7,0,0,0,100,100,0,23,23,0
10.41075802,0.870344385,0.6,12.65038157,507.3694314,71.20799402,299.0735749,1308.283355,3.600251654,26.16566709,1278.517436,4.79340198,14.83024691,0,0,-12.04097413,17.7,0,0,0,100,100,0,23,23,0
12.13638273,1.183499118,0.7,14.74723283,591.4679406,71.20799402,299.0735749,1308.283355,4.892678534,26.16566709,1277.225009,4.788556429,14.83024691,0,0,-11.97721296,17.7,0,0,0,100,100,0,23,23,0
13.86026305,1.544563643,0.8,16.84196443,675.4814364,71.20799402,299.0735749,1308.283355,6.381328464,26.16566709,1275.736359,4.782975201,14.83024691,0,0,-11.91109874,17.7,0,0,0,100,100,0,23,23,0
15.58213412,1.953485826,0.9,18.93425454,759.3970115,71.20799402,299.0735749,1308.283355,8.065327937,26.16566709,1274.05236,4.776661571,14.83024691,0,0,-11.91109874,17.7,0,0,0,100,100,0,23,23,0
17.30173229,2.410206193,1,21.02378279,843.2018163,71.20799402,299.0735749,1308.283355,9.943684352,26.16566709,1272.174003,4.76961926,14.83024691,0,0,-11.84271242,17.7,0,0,0,100,100,0,23,23,0
19.01879522,2.914657963,1.1,23.11023041,926.8830663,71.20799402,299.0735749,1308.283355,12.01528727,26.16566709,1270.1024,4.761852431,14.83024691,0,0,-11.77213124,17.7,0,0,0,100,100,0,23,23,0
20.73306209,3.466767093,1.2,25.19328047,1010.42805,71.20799402,299.0735749,1308.283355,14.27890983,26.16566709,1267.838778,4.753365685,14.83024691,0,0,-11.69942898,17.7,0,0,0,100,100,0,23,23,0
22.44427374,4.066452313,1.3,27.27261804,1093.824137,71.20799402,299.0735749,1308.283355,16.73321026,26.16566709,1265.384477,4.744164052,14.83024691,0,0,-11.54794004,17.7,0,0,0,100,100,0,23,23,0
24.1521728,4.713625181,1.4,29.3479304,1177.058784,71.20799402,299.0735749,1308.283355,19.37673361,26.16566709,1262.740954,4.734252987,14.83024691,0,0,-11.4692853,17.7,0,0,0,100,100,0,23,23,0
25.85650388,5.408190135,1.5,31.41890721,1260.119546,71.20799402,299.0735749,1308.283355,22.2079136,26.16566709,1259.909774,4.723638361,14.83024691,0,0,-11.38877369,17.7,0,0,0,100,100,0,23,23,0
27.55701369,6.150044546,1.6,33.4852407,1342.994078,70.91694387,297.8511642,1302.935977,25.22507453,26.16566709,1251.545235,4.692278133,14.83024691,0,0,-11.36443314,17.7,0,0,0,100,100,0,23,23,0
29.24623381,6.938978539,1.7,35.5378558,1425.318405,66.76754821,280.4237025,1226.700361,28.41240847,26.16566709,1172.122285,4.394506579,14.83024691,0,0,-11.39265444,17.7,0,0,0,100,100,0,23,23,0
30.82825618,7.773346455,1.8,37.46021214,1502.418439,63.39544982,266.2608892,1164.745797,31.56938146,26.16566709,1107.010749,4.1503912,14.83024691,0,0,-11.44590797,17.7,0,0,0,100,100,0,23,23,0
32.32239701,8.650438861,1.9,39.27578134,1575.235556,60.34759166,253.459885,1108.748403,34.70365962,26.16566709,1047.879076,3.928695455,14.83024691,24.80946417,11.45025714,0,17.7,78.29336854,0.000689152,0.000318063,99.99986846,100,6.810946175,23,23,0
33.73672738,9.5679267,2,40.99437078,1644.163101,57.84469615,242.9477238,1062.763446,37.80716021,26.16566709,998.790619,3.744653609,14.83024691,24.83389687,11.44106737,0,17.69782518,78.36570263,0.001378982,0.00063587,99.9997368,99.98771291,6.823537054,23.00824653,23,0
35.08480268,10.52378128,2.1,42.63245197,1709.861698,55.78799584,234.3095825,1024.976302,40.88897566,26.16566709,957.9216588,3.591428202,0,24.91996558,11.43536344,0,17.69564836,78.62044705,0.002071204,0.000953519,99.99960467,99.97541446,6.867971882,23.01650791,23.00000591,0
36.37771683,11.51631628,2.2,44.20350543,1772.872011,53.64230369,225.2976755,985.5541361,43.95811191,26.16566709,915.4303571,3.432120332,0,24.85785427,11.43110715,0,17.69346446,78.43662156,0.002761699,0.00127105,99.99947288,99.96307603,6.83589289,23.02482269,23.00001774,0
37.61328015,12.54396901,2.3,45.70487041,1833.087324,52.08422848,218.7537596,956.9280824,46.99488288,26.16566709,883.7675324,3.313410456,0,24.96689852,11.42780331,0,17.69128566,78.75931507,0.003455224,0.001588489,99.99934051,99.95076646,6.892255233,23.03309825,23.00003553,0
38.80610791,13.6053494,2.4,47.1543063,1891.219916,50.41083962,211.7255264,926.183405,50.02283811,26.16566709,849.9948998,3.186790514,0,24.94370536,11.4251852,0,17.6890979,78.69069356,0.004148105,0.001905855,99.99920826,99.93840624,6.880250281,23.04144165,23.00005923,0
39.9533525,14.6992308,2.5,48.54835289,1947.131006,49.03241822,205.9361565,900.8580775,53.02425901,26.16566709,821.6681514,3.080588214,0,24.99053308,11.42308364,0,17.68691205,78.82923491,0.004842287,0.002223163,99.99907576,99.92605679,6.904498086,23.04977012,23.0000889,0
41.06236426,15.82444909,2.6,49.89594179,2001.178816,47.54658737,199.6956669,873.5593479,56.00877276,26.16566709,791.3849081,2.967050647,0,23.87191803,11.42138195,0,17.68472235,75.51145321,0.005505395,0.002540424,99.99894919,99.9136856,6.335532851,23.05812756,23.00012452,0
