v0,r0,t0,w_wh,w_m,T_m,T_a,F_trac,F_drag,F_RR,F_net_tan,a_tan0,a_norm0,P_battery,P_battery_OL,P_battery_regen,Capacity,Pack Current,Energy Use,Energy Use OL,SoC Energy,SoC Capacity,Dissipated Power,Battery Temp,Heatsink Temp,Max Values
0.0,0.0,0.0,0.0,0.0,71.20799401770516,299.07357487436167,1308.2833546560003,0.0,0.0,1308.2833546560003,4.905,14.830246913580249,0.0,0.0,-21.464551669649325,17.7,0.0,0.0,0.0,100.0,100.0,0.0,23.0,23.0,0.0
1.7658000000000003,0.024525000000000005,0.1,2.145669291338583,86.05645623716893,71.20799401770516,299.07357487436167,1308.2833546560003,0.10357410262500001,26.165667093120007,1282.0141134602552,4.806511681237427,14.830246913580249,0.0,0.0,-21.464551669649325,17.7,0.0,0.0,0.0,100.0,100.0,0.0,23.0,23.0,0.45347065293553623
3.496144205245474,0.09760755840618715,0.2,4.248255328625296,170.38497043693445,71.20799401770516,299.07357487436167,1308.2833546560003,0.4060194415753614,26.165667093120007,1281.711668121305,4.805377756860669,14.830246913580249,0.0,0.0,-21.464551669649325,17.7,0.0,0.0,0.0,100.0,100.0,0.0,23.0,23.0,0.0
5.226080197715315,0.21874956400286477,0.30000000000000004,6.350345336000918,254.69359034240753,71.20799401770516,299.07357487436167,1308.2833546560003,0.9072360399140355,26.165667093120007,1281.2104515229662,4.803498601702039,14.830246913580249,0.0,0.0,-21.464551669649325,17.7,0.0,0.0,0.0,100.0,100.0,0.0,23.0,23.0,86.7805658014592
6.955339694328049,0.3879359513923559,0.4,8.45161331574809,338.96924114825333,71.20799401770516,299.07357487436167,1308.2833546560003,1.6069591812063864,26.165667093120007,1280.510728381674,4.800875208233167,14.830246913580249,0.0,0.0,-21.464551669649325,17.7,0.0,0.0,0.0,100.0,100.0,0.0,23.0,23.0,0.0
8.683654769291989,0.6051442078315231,0.5,10.551733704301531,423.19886546169397,71.20799401770516,299.07357487436167,1308.2833546560003,2.50480114163137,26.165667093120007,1279.612886421249,4.797509030103474,14.830246913580249,0.0,0.0,-21.663872745425525,17.7,0.0,0.0,0.0,100.0,100.0,0.0,23.0,23.0,0.0
10.41075802012924,0.8703443854623736,0.6,12.650381573988092,507.36943139370675,71.20799401770516,299.07357487436167,1308.2833546560003,3.600251654271722,26.165667093120007,1278.5174359086086,4.793401980399464,14.830246913580249,0.0,0.0,-21.663872745425525,17.7,0.0,0.0,0.0,100.0,100.0,0.0,23.0,23.0,0.0
12.136382733073047,1.1834991181457386,0.7,14.747232834005354,591.4679406196813,71.20799401770516,299.07357487436167,1308.2833546560003,4.892678534389217,26.165667093120007,1277.225009028491,4.788556429300449,14.830246913580249,0.0,0.0,-21.860962869919724,17.7,0.0,0.0,0.0,100.0,100.0,0.0,23.0,23.0,0.0
13.860263047621208,1.5445636428776033,0.7999999999999999,16.841964430374755,675.4814363989491,71.20799401770516,299.07357487436167,1308.2833546560003,6.381328464356005,26.165667093120007,1275.7363590985242,4.782975201135693,14.830246913580249,0.0,0.0,-22.05588299963857,17.7,0.0,0.0,0.0,100.0,100.0,0.0,23.0,23.0,0.0
15.582134120030057,1.9534858257616488,0.8999999999999999,18.93425454460734,759.3970115426795,71.20799401770516,299.07357487436167,1308.2833546560003,8.065327936554583,26.165667093120007,1274.0523596263256,4.7766615708493045,14.830246913580249,0.0,0.0,-22.05588299963857,17.7,0.0,0.0,0.0,100.0,100.0,0.0,23.0,23.0,0.0
