Section Length,Cumulative Length,Radius
10.67,18836.52,36.5
31.55,18868.07,0
5.2,18873.27,3.71
31.33,18904.6,14.33
7.22,18911.82,0
4,18915.82,6.58
5.99,18921.81,20.92
29.12,18950.93,0
4.91,18955.84,8.51
10,18965.84,8.13
9.8,18975.64,8.49
9.09,18984.73,7.79
5.22,18989.95,0
9.72,18999.67,8.45
8.69,19008.36,0
12.37,19020.73,10.03
7.28,19028.01,0
12.91,19040.92,8.2
3.65,19044.57,0
9.96,19054.53,6.86
9.92,19064.45,9.39
9.94,19074.39,0
15.32,19089.71,13.24
8.08,19097.79,0
14.53,19112.32,13.3
10.52,19122.84,0
12.98,19135.82,15.07
11.78,19147.6,0
10,19157.6,23.56
63.85,19221.45,0
18.74,19240.19,31.72
26.59,19266.78,21.5
18.13,19284.91,0
25.64,19310.55,22.09
20.28,19330.83,0
18.34,19349.17,22.23
14.41,19363.58,20.43
10.71,19374.29,11.57
11.77,19386.06,15.09
29.13,19415.19,20.63
10.25,19425.44,10.21
78.13,19503.57,0
10.04,19513.61,7.44
16.01,19529.62,11.78
16.68,19546.3,0
7.21,19553.51,9.13
6.61,19560.12,4.05
6.68,19566.8,0
14.26,19581.06,12.32
7.29,19588.35,3.92
9.05,19597.4,29.42
20.96,19618.36,0
32.25,19650.61,33.4
22.99,19673.6,17.72
17.05,19690.65,15.49
12.19,19702.84,5.52
95.71,19798.55,0
4.28,19802.83,6.38
8.89,19811.72,7.09
9.5,19821.22,7.92
7.5,19828.72,8.7
10.67,19839.39,36.5
31.55,19870.94,0
5.2,19876.14,3.71
31.33,19907.47,14.33
7.22,19914.69,0
4,19918.69,6.58
5.99,19924.68,20.92
29.12,19953.8,0
4.91,19958.71,8.51
10,19968.71,8.13
9.8,19978.51,8.49
9.09,19987.6,7.79
5.22,19992.82,0
9.72,20002.54,8.45
8.69,20011.23,0
12.37,20023.6,10.03
7.28,20030.88,0
12.91,20043.79,8.2
3.65,20047.44,0
9.96,20057.4,6.86
9.92,20067.32,9.39
9.94,20077.26,0
15.32,20092.58,13.24
8.08,20100.66,0
14.53,20115.19,13.3
10.52,20125.71,0
12.98,20138.69,15.07
11.78,20150.47,0
10,20160.47,23.56
63.85,20224.32,0
18.74,20243.06,31.72
26.59,20269.65,21.5
18.13,20287.78,0
25.64,20313.42,22.09
20.28,20333.7,0
18.34,20352.04,22.23
14.41,20366.45,20.43
10.71,20377.16,11.57
11.77,20388.93,15.09
29.13,20418.06,20.63
10.25,20428.31,10.21
78.13,20506.44,0
10.04,20516.48,7.44
16.01,20532.49,11.78
16.68,20549.17,0
7.21,20556.38,9.13
6.61,20562.99,4.05
6.68,20569.67,0
14.26,20583.93,12.32
7.29,20591.22,3.92
9.05,20600.27,29.42
20.96,20621.23,0
32.25,20653.48,33.4
22.99,20676.47,17.72
17.05,20693.52,15.49
12.19,20705.71,5.52
95.71,20801.42,0
4.28,20805.7,6.38
8.89,20814.59,7.09
9.5,20824.09,7.92
7.5,20831.59,8.7
10.67,20842.26,36.5
31.55,20873.81,0
5.2,20879.01,3.71
31.33,20910.34,14.33
7.22,20917.56,0
4,20921.56,6.58
5.99,20927.55,20.92
29.12,20956.67,0
4.91,20961.58,8.51
10,20971.58,8.13
9.8,20981.38,8.49
9.09,20990.47,7.79
5.22,20995.69,0
9.72,21005.41,8.45
8.69,21014.1,0
12.37,21026.47,10.03
7.28,21033.75,0
12.91,21046.66,8.2
3.65,21050.31,0
9.96,21060.27,6.86
9.92,21070.19,9.39
9.94,21080.13,0
15.32,21095.45,13.24
8.08,21103.53,0
14.53,21118.06,13.3
10.52,21128.58,0
12.98,21141.56,15.07
11.78,21153.34,0
10,21163.34,23.56
63.85,21227.19,0
18.74,21245.93,31.72
26.59,21272.52,21.5
18.13,21290.65,0
25.64,21316.29,22.09
20.28,21336.57,0
18.34,21354.91,22.23
14.41,21369.32,20.43
10.71,21380.03,11.57
11.77,21391.8,15.09
29.13,21420.93,20.63
10.25,21431.18,10.21
78.13,21509.31,0
10.04,21519.35,7.44
16.01,21535.36,11.78
16.68,21552.04,0
7.21,21559.25,9.13
6.61,21565.86,4.05
6.68,21572.54,0
14.26,21586.8,12.32
7.29,21594.09,3.92
9.05,21603.14,29.42
20.96,21624.1,0
32.25,21656.35,33.4
22.99,21679.34,17.72
17.05,21696.39,15.49
12.19,21708.58,5.52
95.71,21804.29,0
4.28,21808.57,6.38
8.89,21817.46,7.09
9.5,21826.96,7.92
7.5,21834.46,8.7
10.67,21845.13,36.5
31.55,21876.68,0
5.2,21881.88,3.71
31.33,21913.21,14.33
7.22,21920.43,0
4,21924.43,6.58
5.99,21930.42,20.92
29.12,21959.54,0
4.91,21964.45,8.51
10,21974.45,8.13
9.8,21984.25,8.49
9.09,21993.34,7.79
5.22,21998.56,0
9.72,22008.28,8.45
8.69,22016.97,0
12.37,22029.34,10.03
7.28,22036.62,0
12.91,22049.53,8.2
3.65,22053.18,0
9.96,22063.14,6.86
