Section Length,Cumulative Length,Radius
10.25,4382.39,10.21
78.13,4460.52,0
10.04,4470.56,7.44
16.01,4486.57,11.78
16.68,4503.25,0
7.21,4510.46,9.13
6.61,4517.07,4.05
6.68,4523.75,0
14.26,4538.01,12.32
7.29,4545.3,3.92
9.05,4554.35,29.42
20.96,4575.31,0
32.25,4607.56,33.4
22.99,4630.55,17.72
17.05,4647.6,15.49
12.19,4659.79,5.52
95.71,4755.5,0
4.28,4759.78,6.38
8.89,4768.67,7.09
9.5,4778.17,7.92
7.5,4785.67,8.7
10.67,4796.34,36.5
31.55,4827.89,0
5.2,4833.09,3.71
31.33,4864.42,14.33
7.22,4871.64,0
4,4875.64,6.58
5.99,4881.63,20.92
29.12,4910.75,0
4.91,4915.66,8.51
10,4925.66,8.13
9.8,4935.46,8.49
9.09,4944.55,7.79
5.22,4949.77,0
9.72,4959.49,8.45
8.69,4968.18,0
12.37,4980.55,10.03
7.28,4987.83,0
12.91,5000.74,8.2
3.65,5004.39,0
9.96,5014.35,6.86
9.92,5024.27,9.39
9.94,5034.21,0
15.32,5049.53,13.24
8.08,5057.61,0
14.53,5072.14,13.3
10.52,5082.66,0
12.98,5095.64,15.07
11.78,5107.42,0
10,5117.42,23.56
63.85,5181.27,0
18.74,5200.01,31.72
26.59,5226.6,21.5
18.13,5244.73,0
25.64,5270.37,22.09
20.28,5290.65,0
18.34,5308.99,22.23
14.41,5323.4,20.43
10.71,5334.11,11.57
11.77,5345.88,15.09
29.13,5375.01,20.63
10.25,5385.26,10.21
78.13,5463.39,0
10.04,5473.43,7.44
16.01,5489.44,11.78
16.68,5506.12,0
7.21,5513.33,9.13
6.61,5519.94,4.05
6.68,5526.62,0
14.26,5540.88,12.32
7.29,5548.17,3.92
9.05,5557.22,29.42
20.96,5578.18,0
32.25,5610.43,33.4
22.99,5633.42,17.72
17.05,5650.47,15.49
12.19,5662.66,5.52
95.71,5758.37,0
4.28,5762.65,6.38
8.89,5771.54,7.09
9.5,5781.04,7.92
7.5,5788.54,8.7
10.67,5799.21,36.5
31.55,5830.76,0
5.2,5835.96,3.71
31.33,5867.29,14.33
7.22,5874.51,0
4,5878.51,6.58
5.99,5884.5,20.92
29.12,5913.62,0
