Speed,Torque
22.36874797,13.89261745
782.9174425,13.2885906
1867.818614,12.55033762
2639.552195,12.41611148
3299.439988,12.28187919
4093.54334,11.81208463
4954.752937,11.40940007
5905.439573,11.34228393
6766.650193,11.00671551
7717.335805,10.67114094
8589.730288,10.67114094
9484.494542,10.46979866
10614.13219,10.20134638
11531.26621,9.865771812
12459.58205,9.597319533
13499.7447,9.328861109
14428.06259,9.127518827
15345.19457,8.926176545
16362.9895,8.657718121
17369.59852,8.255033557
18476.86844,7.718122854
19371.63064,7.248322148
19964.41219,6.979869868
