Speed Peak,Torque Peak
0,21.42856968
681.9098868,21.22767687
1609.756098,21.22767687
2638.211041,21.22767687
3800.812326,21.3616095
4952.235431,21.29464319
6215.446472,21.09375038
7981.707317,21.22767687
9960.365854,21.3616095
12039.63415,21.02678407
13995.93428,21.3616095
15147.35841,21.29464319
15929.87805,21.02678407
16298.78049,20.62499847
16723.57792,20.22321286
17092.48036,19.55357427
17740.85366,18.28125115
18512.19512,17.14286065
19115.85366,15.60267841
19596.54403,14.7991072
19931.90989,13.59375038
