elapsedDistance,engineSpeed,torque,brakePosition
Length,Speed (angular),Torque,Ratio
m,rpm,N.m,%
39.5,2377.468923,83.1852227,0
39.75,2378.285485,83.15966433,0
40,2379.0869,83.13458004,0
40.25,2379.873374,83.10996338,0
40.5,2380.645114,83.08580795,0
40.75,2381.402321,83.06210734,0
41,2382.145201,83.03885521,0
41.25,2382.873955,83.01604522,0
41.5,2383.588783,82.99367108,0
41.75,2384.289888,82.97172651,0
42,2384.977467,82.95020528,0
42.25,2385.651719,82.9291012,0
42.5,2386.31284,82.9084081,0
42.75,2386.961027,82.88811986,0
43,2387.596474,82.86823037,0
43.25,2388.219374,82.8487336,0
43.5,2388.829919,82.82962352,0
43.75,2389.428301,82.81089417,0
44,2395.398115,82.62403899,0
44.25,2401.346706,82.4378481,0
44.5,2407.274239,82.25231633,0
44.75,2413.180875,82.06743862,0
45,2419.066776,81.88320993,0
45.25,2424.932099,81.69962531,0
45.5,2430.777001,81.51667987,0
45.75,2436.601636,81.33436879,0
46,2442.406156,81.15268731,0
46.25,2448.190712,80.97163073,0
46.5,2453.955451,80.79119439,0
46.75,2459.70052,80.61137373,0
47,2465.426063,80.43216422,0
47.25,2471.132224,80.25356139,0
47.5,2476.819143,80.07556082,0
47.75,2482.486959,79.89815817,0
48,2488.135811,79.72134913,0
48.25,2493.765832,79.54512945,0
48.5,2499.377159,79.36949493,0
48.75,2504.969922,79.19444143,0
49,2510.544254,79.01996485,0
49.25,2516.100283,78.84606115,0
49.5,2521.638136,78.67272633,0
49.75,2527.157941,78.49995644,0
50,2532.659822,78.32774757,0
50.25,2538.143902,78.15609588,0
50.5,2543.610302,77.98499754,0
50.75,2549.059144,77.81444879,0
51,2543.966242,77.97385661,100
51.25,2527.132006,78.50076823,100
51.5,2510.202447,79.03066341,100
51.75,2493.175588,79.56360408,100
52,2476.049386,80.09965422,100
52.25,2458.821726,80.63887998,0
52.5,2456.898189,80.69908668,0
52.75,2455.403242,80.74587851,0
53,2454.051393,80.78819139,0
53.25,2452.803487,80.82725084,0
53.5,2451.639109,80.8636959,0
53.75,2450.545194,80.89793542,0
54,2449.512477,80.93025946,0
54.25,2448.533954,80.96088724,0
54.5,2447.604097,80.98999176,0
54.75,2446.718409,81.0177138,0
55,2445.873139,81.04417075,0
55.25,2445.065104,81.06946226,0
55.5,2444.291558,81.09367424,0
55.75,2443.550107,81.11688166,0
56,2442.838638,81.13915062,0
56.25,2442.155274,81.16053992,0
56.5,2441.498331,81.18110224,0
56.75,2440.86629,81.20088514,0
57,2440.257772,81.21993172,0
57.25,2439.671523,81.23828133,0
57.5,2439.10639,81.25596998,0
57.75,2438.561316,81.27303081,0
58,2438.035322,81.28949441,0
58.25,2437.527505,81.30538908,0
58.5,2437.037024,81.32074115,0
58.75,2436.563095,81.33557511,0
59,2436.104989,81.34991385,0
59.25,2435.66202,81.36377876,0
59.5,2435.233548,81.37718993,0
59.75,2434.81897,81.39016623,0
60,2434.417719,81.40272541,0
60.25,2434.029259,81.41488421,0
60.5,2433.653085,81.42665845,0
60.75,2433.288719,81.43806309,0
61,2432.93571,81.44911228,0
61.25,2432.593628,81.45981945,0
61.5,2432.262065,81.47019736,0
61.75,2431.940635,81.48025812,0
62,2431.62897,81.49001325,0
62.25,2431.326717,81.49947374,0
62.5,2431.033544,81.50865006,0
62.75,2430.749132,81.51755218,0
63,2430.473174,81.52618964,0
63.25,2430.205381,81.53457156,0
63.5,2429.945474,81.54270665,0
63.75,2429.693187,81.55060325,0
64,2429.448264,81.55826934,0
64.25,2429.21046,81.56571259,0
64.5,2428.979542,81.57294033,0
64.75,2428.755284,81.57995961,0
65,2428.53747,81.58677718,0
65.25,2428.325893,81.59339954,0
65.5,2428.120353,81.59983294,0
65.75,2427.920659,81.60608337,0
66,2427.726626,81.6121566,0
66.25,2427.538077,81.6180582,0
66.5,2427.35484,81.6237935,0
66.75,2433.191331,81.44111133,0
67,2439.007619,81.25906153,0
67.25,2444.803854,81.07763937,0
67.5,2450.580186,80.89684018,0
67.75,2456.336762,80.71665934,0
68,2462.073729,80.53709229,0
68.25,2467.791229,80.35813453,0
68.5,2473.489405,80.17978162,0
68.75,2479.168397,80.00202916,0
69,2484.828344,79.82487283,0
69.25,2490.469382,79.64830835,0
69.5,2496.091646,79.47233148,0
69.75,2501.69527,79.29693805,0
70,2507.280385,79.12212394,0
70.25,2512.847122,78.94788507,0
70.5,2518.39561,78.77421742,0
70.75,2523.925974,78.601117,0
71,2529.438342,78.42857989,0
71.25,2534.932837,78.2566022,0
71.5,2540.409581,78.0851801,0
71.75,2545.868697,77.9143098,0
72,2551.310302,77.74398754,0
72.25,2556.734517,77.57420961,0
72.5,2562.141458,77.40497237,0
72.75,2567.53124,77.23627219,0
73,2572.903978,77.06810549,0
73.25,2578.259785,76.90046873,0
73.5,2583.598772,76.73335842,0
73.75,2588.921051,76.5667711,0
74,2594.22673,76.40070335,0
74.25,2599.515917,76.23515179,0
74.5,2604.788719,76.07011308,0
74.75,2610.045242,75.90558391,0
75,2615.285591,75.74156101,0
75.25,2620.509867,75.57804116,0
75.5,2625.718174,75.41502114,0
75.75,2630.910613,75.2524978,0
76,2636.087284,75.09046802,0
76.25,2641.248285,74.92892868,0
76.5,2646.393714,74.76787674,0
76.75,2650.014366,74.65455033,100
77,2633.749598,75.16363758,100
77.25,2617.400821,75.67535429,0
77.5,2615.429765,75.73704834,0
77.75,2613.853858,75.78637423,0
78,2612.413243,75.8314655,0
78.25,2611.071522,75.87346137,0
78.5,2609.809728,75.91295552,0
78.75,2608.615721,75.95032793,0
79,2607.480884,75.98584833,0
79.25,2606.398696,76.01972081,0
79.5,2605.364009,76.05210653,0
79.75,2604.372624,76.08313686,0
80,2603.42104,76.11292144,0
80.25,2602.506279,76.14155346,0
80.5,2601.625771,76.16911338,0
80.75,2600.777268,76.19567152,0
81,2599.958787,76.22128996,0
81.25,2599.168562,76.246024,0
81.5,2598.405006,76.2699233,0
81.75,2597.666687,76.2930327,0
82,2596.952301,76.31539298,0
82.25,2596.26066,76.33704136,0
82.5,2595.590671,76.35801201,0
82.75,2594.941329,76.37833641,0
83,2594.311704,76.39804367,0
83.25,2593.700933,76.4171608,0
83.5,2593.108214,76.43571292,0
83.75,2592.532796,76.45372348,0
84,2591.97398,76.47121443,0
84.25,2591.431107,76.48820634,0
84.5,2590.903561,76.50471853,0
84.75,2590.39076,76.5207692,0
85,2589.892156,76.53637553,0
